 Node  Count n Degree
20     1
16     2
13     3
8     4
12     5
8     6
10     7
3     8
6     9
7     10
4     11
8     12
8     13
5     14
7     15
5     16
6     17
1     18
2     19
5     20
6     21
2     22
6     23
5     24
5     25
3     26
4     27
4     28
3     29
3     30
3     31
2     32
7     33
6     34
4     35
1     36
4     37
1     38
1     40
3     41
9     42
3     43
2     44
2     45
1     46
1     47
2     48
3     49
2     50
1     51
2     52
3     53
2     55
2     56
5     57
3     58
1     59
2     60
6     63
4     64
1     66
1     67
1     68
6     69
6     70
1     71
1     72
2     73
1     75
2     76
4     77
3     78
2     79
1     80
3     81
3     82
3     85
2     86
2     88
3     89
1     90
2     91
2     92
1     93
2     95
1     96
1     97
5     98
1     99
2     100
2     102
1     103
1     104
2     106
2     107
1     108
2     109
1     111
1     112
2     114
2     115
1     116
2     118
1     120
3     122
4     123
1     124
4     125
2     126
3     129
2     131
2     132
2     134
1     136
1     137
1     138
1     139
1     140
2     142
3     143
4     145
1     146
1     147
3     148
3     149
2     150
3     151
1     152
2     156
2     157
1     158
3     160
2     161
1     163
2     164
1     165
1     166
3     170
1     171
2     172
3     174
4     175
1     176
2     177
1     180
2     184
4     186
1     187
3     188
2     190
2     191
1     193
2     194
1     195
1     197
1     200
1     201
1     204
3     211
2     212
2     215
1     217
1     218
1     220
2     221
1     222
1     224
1     225
3     226
3     227
2     228
1     229
2     230
2     231
2     232
1     233
1     234
1     235
2     236
5     237
4     239
1     240
1     243
1     244
2     245
1     246
2     247
2     249
1     250
1     251
1     253
1     255
2     256
1     257
1     258
2     260
2     263
5     264
2     265
2     266
1     267
3     268
2     269
2     271
2     275
2     276
2     278
2     280
1     281
4     282
1     283
2     284
1     286
1     288
3     289
3     290
2     292
1     293
2     294
1     295
3     300
4     301
1     303
2     304
4     305
1     306
1     307
1     309
2     311
1     312
3     313
1     315
2     316
1     317
2     320
1     321
4     322
2     324
1     326
2     327
1     328
1     329
1     330
2     332
1     333
1     334
1     335
1     336
2     337
2     338
1     339
1     340
1     341
2     347
2     348
3     349
2     350
2     351
2     352
2     355
3     357
1     359
1     360
1     361
3     362
1     364
1     365
1     367
2     368
2     370
1     371
1     372
1     374
1     379
1     380
1     382
1     383
2     384
2     385
2     386
2     389
1     390
1     391
1     393
1     395
1     396
1     398
1     399
1     400
2     402
2     403
3     404
2     405
1     410
3     414
2     415
1     416
4     417
1     419
4     420
1     421
4     422
1     423
2     424
1     426
1     427
1     429
1     434
2     438
1     439
1     440
1     443
1     444
2     445
2     446
3     448
1     449
1     450
1     451
2     452
1     453
1     454
2     455
1     456
1     457
1     458
3     459
1     460
1     462
2     464
3     468
1     472
1     474
5     475
4     477
1     478
2     479
1     480
1     483
1     484
1     485
3     486
1     487
1     488
1     489
1     490
2     491
1     493
2     495
1     496
2     497
3     498
3     499
2     500
1     503
2     506
2     510
1     511
3     512
4     513
1     514
2     515
1     516
3     517
3     518
1     519
1     520
1     521
2     522
1     523
2     525
1     526
1     531
1     532
1     535
2     536
2     537
2     538
1     539
2     540
3     541
1     542
2     544
2     545
1     546
1     547
1     548
1     549
1     554
1     555
2     556
4     557
2     558
1     559
2     560
1     562
1     563
2     564
1     566
1     567
2     568
1     571
2     574
2     575
4     576
1     577
1     578
2     580
1     582
2     583
8     584
1     588
2     589
2     590
1     592
2     593
2     594
1     595
2     596
3     598
2     599
3     600
1     601
1     603
1     604
1     605
1     606
2     609
2     610
4     612
2     614
1     615
3     616
1     617
1     618
1     619
1     620
1     622
2     624
4     625
1     626
2     627
1     628
4     630
1     632
2     633
1     634
5     636
1     637
2     638
2     639
2     640
5     641
4     642
2     643
1     644
2     645
1     646
1     647
1     648
1     649
1     650
2     651
2     655
1     657
2     658
1     659
2     660
2     661
2     663
1     664
2     665
1     666
1     669
3     670
1     671
1     672
2     673
1     674
2     675
2     676
1     677
2     678
1     679
1     680
2     681
5     682
1     684
2     685
1     686
1     687
2     690
2     691
1     692
3     693
1     694
1     695
1     696
1     698
2     700
1     704
2     708
4     709
1     712
2     713
2     714
1     716
1     717
1     719
2     722
1     723
1     725
2     726
1     728
1     729
4     730
1     731
3     732
1     733
2     734
2     735
1     736
2     737
1     740
2     743
1     745
1     746
2     747
1     749
1     750
1     751
1     754
3     755
2     756
2     757
2     758
1     762
3     764
2     765
2     767
1     768
1     770
3     771
2     772
1     773
1     774
5     775
2     778
1     779
1     780
1     781
1     782
2     783
3     786
2     788
3     789
1     790
1     791
5     792
5     793
2     794
2     795
1     796
1     797
3     798
3     799
2     801
2     802
3     804
3     805
2     807
3     809
2     810
1     811
1     813
1     815
1     816
1     817
3     818
4     820
1     821
1     823
2     824
3     827
2     828
1     829
4     830
2     831
2     832
2     833
2     835
1     836
3     837
1     839
1     840
4     842
1     845
2     847
1     848
2     849
5     850
3     851
3     852
2     853
1     854
1     855
2     856
8     858
2     859
3     863
2     864
3     865
2     866
2     867
1     870
1     872
4     875
2     876
1     877
1     878
3     879
1     880
1     881
1     882
1     883
1     886
2     887
3     888
1     889
4     890
1     893
4     896
1     897
1     898
1     899
2     900
1     901
1     902
1     904
1     905
1     908
2     910
2     911
3     913
1     915
2     917
2     918
2     919
1     921
1     923
2     924
3     925
1     926
2     927
1     929
3     932
1     933
1     935
2     937
2     938
1     939
3     940
1     941
1     942
2     946
1     947
2     949
2     951
1     952
1     953
3     960
5     961
3     962
2     963
1     964
2     965
1     968
2     970
2     971
1     973
1     975
1     976
1     977
2     978
2     979
3     981
3     983
3     985
2     986
2     987
1     988
5     989
1     990
3     993
1     994
1     995
2     997
5     1001
1     1002
3     1003
2     1004
1     1005
1     1008
3     1009
1     1012
1     1015
1     1016
1     1017
1     1021
2     1022
2     1023
1     1024
1     1027
1     1030
1     1032
1     1033
1     1034
2     1036
3     1037
1     1040
3     1042
2     1045
1     1046
2     1047
3     1048
1     1049
1     1050
1     1052
1     1055
2     1056
1     1059
2     1061
1     1063
1     1064
1     1065
1     1066
2     1067
1     1069
1     1071
1     1072
1     1074
1     1076
2     1077
1     1079
1     1080
1     1081
2     1084
4     1087
1     1092
2     1101
1     1102
1     1105
1     1106
1     1107
2     1109
2     1121
1     1124
1     1132
1     1134
1     1143
1     1146
1     1150
1     1155
2     1163
1     1181
1     1193
2     1204
1     1211
1     1213
Bridge Edge: (746, 777)
Bridge Edge: (1205, 1544)
Bridge Edge: (1056, 1724)
Bridge Edge: (1232, 1724)
Bridge Edge: (881, 1789)
Bridge Edge: (1952, 1973)
Bridge Edge: (1953, 1996)
Bridge Edge: (2067, 2114)
Bridge Edge: (1918, 2241)
Bridge Edge: (716, 2326)
Bridge Edge: (2160, 2244)
Bridge Edge: (2049, 2075)
Bridge Edge: (1749, 2269)
Bridge Edge: (861, 1742)
Bridge Edge: (734, 1047)
Bridge Edge: (590, 678)
Bridge Edge: (752, 1018)
Bridge Edge: (526, 791)
Bridge Edge: (387, 537)
Bridge Edge: (113, 1972)
No. of bridges 20
No of 3-cycles 182428455
Diameter of the graph 5
