#
# Degree Dist. of Preferential Attch. Model. G(1547, 15415). 410 (0.2650) nodes with in-deg > avg deg (19.9), 118 (0.0763) with >2*avg.deg (Wed Oct 14 21:03:39 2015)
#
# In-degree	Count
10	241
11	216
12	153
13	124
14	120
15	91
16	65
17	48
18	37
19	42
20	28
21	34
22	29
23	20
24	18
25	22
26	21
27	14
28	16
29	16
30	8
31	8
32	8
33	8
34	6
35	10
36	4
37	8
38	7
39	7
40	10
41	2
42	4
43	5
44	1
45	4
46	4
47	5
48	3
50	5
51	5
52	4
53	1
54	3
55	2
56	3
57	2
58	6
59	2
60	1
61	1
62	1
63	1
64	1
65	1
68	2
69	1
72	2
74	1
75	1
76	1
78	1
82	4
86	1
88	1
90	1
95	1
98	3
99	1
100	1
110	2
125	1
128	1
132	1
138	2
141	1
143	1
147	1
150	1
155	1
158	1
161	1
162	1
163	1
176	1
194	1
224	1
