#
# Degree Dist. of Random Graph. G(1547, 367109). 787 (0.5087) nodes with in-deg > avg deg (474.6), 0 (0.0000) with >2*avg.deg (Wed Oct 14 21:02:15 2015)
#
# In-degree	Count
410	1
420	1
422	2
423	1
424	1
425	2
426	1
427	1
429	1
430	4
431	1
432	2
433	2
434	2
435	3
436	1
437	9
438	4
439	10
440	4
441	11
442	7
443	9
444	10
445	5
446	8
447	12
448	12
449	13
450	13
451	14
452	9
453	12
454	18
455	15
456	22
457	22
458	26
459	29
460	15
461	18
462	33
463	32
464	35
465	35
466	21
467	20
468	24
469	24
470	31
471	46
472	46
473	27
474	33
475	45
476	28
477	46
478	35
479	25
480	44
481	31
482	34
483	36
484	24
485	28
486	30
487	24
488	24
489	23
490	22
491	25
492	23
493	14
494	18
495	16
496	13
497	9
498	14
499	12
500	11
501	8
502	16
503	14
504	8
505	9
506	9
507	7
508	5
509	3
510	4
511	6
512	6
513	5
514	4
515	5
516	4
517	1
518	1
519	4
520	1
521	3
522	1
524	2
526	1
527	1
528	3
530	1
534	1
