#
# Degree Dist. of Small World Model. G(1547, 609831). 748 (0.4835) nodes with in-deg > avg deg (788.4), 0 (0.0000) with >2*avg.deg (Wed Oct 14 21:03:38 2015)
#
# In-degree	Count
734	1
745	1
746	1
748	1
751	1
752	3
754	1
755	4
756	3
757	11
758	2
759	12
760	4
761	6
762	7
763	1
764	10
765	15
766	17
767	20
768	15
769	20
770	16
771	28
772	24
773	26
774	25
775	31
776	36
777	34
778	31
779	32
780	32
781	45
782	38
783	35
784	36
785	45
786	51
787	47
788	31
789	36
790	46
791	32
792	48
793	43
794	31
795	21
796	38
797	30
798	26
799	26
800	23
801	30
802	24
803	33
804	22
805	16
806	36
807	22
808	22
809	17
810	14
811	15
812	13
813	12
814	9
815	4
816	8
817	8
818	10
819	6
820	6
821	3
822	2
823	2
824	2
825	3
826	2
827	3
829	1
831	1
833	1
835	1
